seed,length,train_frac,process,base_process,eps,flip_p,subsample_step,wrappers,condition_id,representation,k,reconstructor,logloss,n_states,C_mu_empirical,unifilarity_score,branch_entropy
0,200000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_1,1,one_step_greedy_merge,0.6053362079804566,2,0.636519944437268,1.0,0.0
0,200000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_2,2,one_step_greedy_merge,0.43260470238230025,4,1.2423605407650895,1.0,0.0
0,200000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_3,3,one_step_greedy_merge,0.4325578143250096,4,1.2423639744695267,1.0,0.0
0,200000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_4,4,one_step_greedy_merge,0.4325630192837083,4,1.2423674081778342,1.0,0.0
0,200000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_5,5,one_step_greedy_merge,0.432591798911692,6,1.2917184118835783,0.9878057927172269,0.055376274372539405
0,200000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_6,6,one_step_greedy_merge,0.43264193912890886,13,1.6009303522069742,0.8975330170694968,0.3498460778358391
1,200000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_1,1,one_step_greedy_merge,0.6004335348440668,2,0.6341992599415402,1.0,0.0
1,200000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_2,2,one_step_greedy_merge,0.4278558424870019,4,1.2368786545637864,1.0,0.0
1,200000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_3,3,one_step_greedy_merge,0.4278640053550635,4,1.2368751215430323,1.0,0.0
1,200000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_4,4,one_step_greedy_merge,0.4278947683818919,5,1.3038940758524593,0.9767867745867058,0.08350444692468618
1,200000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_5,5,one_step_greedy_merge,0.42795629157177406,8,1.3995966023777038,0.9481168043801642,0.18506578471688467
1,200000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_6,6,one_step_greedy_merge,0.428131010436661,15,1.6961219433884824,0.8688317613895608,0.4152621009769186
2,200000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_1,1,one_step_greedy_merge,0.6060251185263175,2,0.6351905036398409,1.0,0.0
2,200000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_2,2,one_step_greedy_merge,0.428323823240112,4,1.239142707479394,1.0,0.0
2,200000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_3,3,one_step_greedy_merge,0.4283290683250089,4,1.2391461573682019,1.0,0.0
2,200000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_4,4,one_step_greedy_merge,0.4283342963951869,4,1.239142661939567,1.0,0.0
2,200000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_5,5,one_step_greedy_merge,0.42837186218952555,8,1.3581901767080031,0.974624048401815,0.13407380682271083
2,200000,0.8,markov_order_2,markov_order_2,0.02,0.0,1,,flip0_sub1,last_6,6,one_step_greedy_merge,0.43033718380685293,16,1.4836387784264633,0.9582481733575844,0.19855141944799734
