seed,length,train_frac,process,base_process,eps,flip_p,subsample_step,wrappers,condition_id,representation,k,dv,reconstructor,logloss,gaussian_logloss,n_states,C_mu_empirical,unifilarity_score,branch_entropy,psi_opt,psi_macro_dim,psi_optimiser,macro_dim,obs_dim,projection_mode,macro_eps,macro_bins,macro_symboliser,latent_dim,iss_mode,model_valid,invalid_reason
0,10000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d3,3,1,kalman_iss,16.66573147326475,16.66573147326475,110.0,4.18296173155108,0.2875718929732433,2.5320052393100414,-8.200337167962248,1.0,pca,1,14,pca,0.2,5,quantile,3,steady_state,True,
0,10000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d3_dv3,3,3,kalman_iss,16.66573147326475,16.66573147326475,7950.0,8.978579698373366,0.9986246561640411,0.0027506876719179795,-18.589721234262086,3.0,pca,3,14,pca,0.2,5,quantile,3,steady_state,True,
0,10000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d5,5,1,kalman_iss,14.71285188460508,14.71285188460508,113.0,4.225612825702374,0.27619404851212803,2.6052257648313315,-5.593688815525215,1.0,pca,1,14,pca,0.2,5,quantile,5,steady_state,True,
0,10000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d5_dv3,5,3,kalman_iss,14.71285188460508,14.71285188460508,7959.0,8.9800740603069,0.9982495623905977,0.003500875218804701,-13.101420361203104,3.0,pca,3,14,pca,0.2,5,quantile,5,steady_state,True,
0,10000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d8,8,1,kalman_iss,12.718651745311364,12.718651745311364,117.0,4.259161910060936,0.28257064266066517,2.5756910011885865,-4.997168067339972,1.0,pca,1,14,pca,0.2,5,quantile,8,steady_state,True,
0,10000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d8_dv3,8,3,kalman_iss,12.718651745311364,12.718651745311364,7959.0,8.980139474501645,0.9988747186796699,0.002250562640660165,-11.252814679112163,3.0,pca,3,14,pca,0.2,5,quantile,8,steady_state,True,
1,10000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d3,3,1,kalman_iss,14.670116677028734,14.670116677028734,126.0,4.534719828512889,0.27644411102775696,2.5889786432073745,-8.724496234827827,1.0,pca,1,14,pca,0.2,5,quantile,3,steady_state,True,
1,10000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d3_dv3,3,3,kalman_iss,14.670116677028734,14.670116677028734,7959.0,8.980139474501645,0.9978744686171543,0.0042510627656914225,-23.47712134318845,3.0,pca,3,14,pca,0.2,5,quantile,3,steady_state,True,
1,10000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d5,5,1,kalman_iss,13.278571491706607,13.278571491706607,128.0,4.550080715179083,0.2765691422855714,2.6144174882725415,-7.970777833642904,1.0,pca,1,14,pca,0.2,5,quantile,5,steady_state,True,
1,10000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d5_dv3,5,3,kalman_iss,13.278571491706607,13.278571491706607,7965.0,8.98117932525383,0.9977494373593399,0.00450112528132033,-20.736549583285335,3.0,pca,3,14,pca,0.2,5,quantile,5,steady_state,True,
1,10000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d8,8,1,kalman_iss,12.033820413039647,12.033820413039647,129.0,4.57259779840198,0.2754438609652413,2.630918500654448,-7.742250902148401,1.0,pca,1,14,pca,0.2,5,quantile,8,steady_state,True,
1,10000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d8_dv3,8,3,kalman_iss,12.033820413039647,12.033820413039647,7973.0,8.98256579292341,0.9986246561640411,0.0027506876719179795,-19.857247708954368,3.0,pca,3,14,pca,0.2,5,quantile,8,steady_state,True,
2,10000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d3,3,1,kalman_iss,15.308586469329672,15.308586469329672,184.0,4.83128276052913,0.28182045511377846,2.5427257532725007,-14.705606303986773,1.0,pca,1,14,pca,0.2,5,quantile,3,steady_state,True,
2,10000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d3_dv3,3,3,kalman_iss,15.308586469329672,15.308586469329672,7913.0,8.972036457012067,0.9978744686171543,0.0042510627656914225,-24.63884415134595,3.0,pca,3,14,pca,0.2,5,quantile,3,steady_state,True,
2,10000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d5,5,1,kalman_iss,13.641562357867302,13.641562357867302,190.0,4.861758047831116,0.2861965491372843,2.5574881917468413,-12.90922223464463,1.0,pca,1,14,pca,0.2,5,quantile,5,steady_state,True,
2,10000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d5_dv3,5,3,kalman_iss,13.641562357867302,13.641562357867302,7914.0,8.972209765470765,0.9976244061015254,0.004751187796949237,-20.627930211415997,3.0,pca,3,14,pca,0.2,5,quantile,5,steady_state,True,
2,10000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d8,8,1,kalman_iss,12.306691176979694,12.306691176979694,196.0,4.90338298024899,0.2751937984496124,2.619526588134354,-12.432416604221743,1.0,pca,1,14,pca,0.2,5,quantile,8,steady_state,True,
2,10000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d8_dv3,8,3,kalman_iss,12.306691176979694,12.306691176979694,7944.0,8.977474433426432,0.9982495623905977,0.003500875218804701,-19.477294831743897,3.0,pca,3,14,pca,0.2,5,quantile,8,steady_state,True,
