seed,length,train_frac,process,base_process,eps,flip_p,subsample_step,wrappers,condition_id,representation,k,dv,reconstructor,logloss,gaussian_logloss,n_states,C_mu_empirical,unifilarity_score,branch_entropy,psi_opt,psi_macro_dim,psi_optimiser,macro_dim,obs_dim,projection_mode,macro_eps,macro_bins,macro_symboliser,latent_dim,iss_mode,model_valid,invalid_reason
0,8000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d3,3,1,kalman_iss,16.686348671531043,16.686348671531043,9.0,1.6160230597567247,0.8994998437011567,0.5477426187317782,-1.0426064147971195,1.0,random,1,14,random,0.2,5,quantile,3,steady_state,True,
0,8000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d3_dv3,3,3,kalman_iss,16.686348671531043,16.686348671531043,4810.0,8.36720924588444,0.9782744607689903,0.046429923417624495,-7.692041819071299,3.0,random,3,14,random,0.2,5,quantile,3,steady_state,True,
0,8000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d5,5,1,kalman_iss,14.809585340476517,14.809585340476517,23.0,2.674174425250704,0.4179431072210066,1.9049872075053476,-1.1280233728632338,1.0,random,1,14,random,0.2,5,quantile,5,steady_state,True,
0,8000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d5_dv3,5,3,kalman_iss,14.809585340476517,14.809585340476517,6332.0,8.749136659174189,0.9985933104095029,0.002813379180994061,-7.0179388212202465,3.0,random,3,14,random,0.2,5,quantile,5,steady_state,True,
0,8000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d8,8,1,kalman_iss,12.855199532286672,12.855199532286672,31.0,3.0307524958504457,0.4026258205689278,1.940853322913979,-1.0205325427357042,1.0,random,1,14,random,0.2,5,quantile,8,steady_state,True,
0,8000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d8_dv3,8,3,kalman_iss,12.855199532286672,12.855199532286672,6350.0,8.753281532268643,0.9981244138793373,0.003751172241325414,-5.555837083216066,3.0,random,3,14,random,0.2,5,quantile,8,steady_state,True,
1,8000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d3,3,1,kalman_iss,14.734600264771771,14.734600264771771,68.0,3.9675265797946513,0.34338855892466397,2.2595906162601156,-8.915471650681582,1.0,random,1,14,random,0.2,5,quantile,3,steady_state,True,
1,8000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d3_dv3,3,3,kalman_iss,14.734600264771771,14.734600264771771,6340.0,8.751115108825735,0.9959362300718975,0.008127539856205065,-21.123515945758324,3.0,random,3,14,random,0.2,5,quantile,3,steady_state,True,
1,8000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d5,5,1,kalman_iss,13.300516544142178,13.300516544142178,74.0,4.038527076921241,0.3155673648015005,2.3819782861283385,-7.759587200684131,1.0,random,1,14,random,0.2,5,quantile,5,steady_state,True,
1,8000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d5_dv3,5,3,kalman_iss,13.300516544142178,13.300516544142178,6347.0,8.752631605235772,0.9964051266020632,0.00718974679587371,-18.724114938251667,3.0,random,3,14,random,0.2,5,quantile,5,steady_state,True,
1,8000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d8,8,1,kalman_iss,12.022563696890755,12.022563696890755,80.0,4.108551483751577,0.31259768677711786,2.395195131295635,-7.358623183746802,1.0,random,1,14,random,0.2,5,quantile,8,steady_state,True,
1,8000,0.8,linear_gaussian_ssm,linear_gaussian_ssm,0.2,0.0,1,,flip0_sub1,iss_d8_dv3,8,3,kalman_iss,12.022563696890755,12.022563696890755,6368.0,8.757181094465881,0.9973429196623945,0.0053141606752110035,-17.675591990347453,3.0,random,3,14,random,0.2,5,quantile,8,steady_state,True,
