seed,process,representation,reconstructor,logloss,n_states,C_mu_empirical,unifilarity_score,branch_entropy,condition_folder,base_process_variant,flip_p,subsample_step,k
0,even_process,last_1,one_step_greedy_merge,0.4569498591320852,2,0.4661827046338923,1.0,0.0,even_process,even_process,0.0,1,1
0,even_process,last_2,one_step_greedy_merge,0.4350565580544046,3,0.8150239175911544,1.0,0.0,even_process,even_process,0.0,1,2
0,even_process,last_3,one_step_greedy_merge,0.4275633667076121,3,0.9380895763352264,0.913441586039651,0.2057038530730229,even_process,even_process,0.0,1,3
0,even_process,last_4,one_step_greedy_merge,0.4124325286595676,3,1.0391751460657264,0.9134410450326572,0.2057003632384735,even_process,even_process,0.0,1,4
0,even_process,last_5,one_step_greedy_merge,0.4064872566471413,4,1.0709216813909952,0.9385601960073504,0.215431205647,even_process,even_process,0.0,1,5
0,even_process,last_6,one_step_greedy_merge,0.3963596462548209,4,1.1077277549710614,0.9354596763608408,0.2370269263592114,even_process,even_process,0.0,1,6
0,even_process,last_7,one_step_greedy_merge,0.3928488305071479,7,1.33066076051972,0.8555240262013101,0.4897532296785377,even_process,even_process,0.0,1,7
0,even_process,last_8,one_step_greedy_merge,0.3863674357349477,8,1.3636560927527437,0.8427474045415054,0.5509013898351462,even_process,even_process,0.0,1,8
1,even_process,last_1,one_step_greedy_merge,0.4572971305810309,2,0.4659709384400112,1.0,0.0,even_process,even_process,0.0,1,1
1,even_process,last_2,one_step_greedy_merge,0.4349434296157968,3,0.8134991802360618,1.0,0.0,even_process,even_process,0.0,1,2
1,even_process,last_3,one_step_greedy_merge,0.4284933986191857,3,0.9363088660585132,0.9138728468211704,0.2045586644918352,even_process,even_process,0.0,1,3
1,even_process,last_4,one_step_greedy_merge,0.4126392037736587,4,1.1591847848555177,0.8754773586674583,0.2886984297056462,even_process,even_process,0.0,1,4
1,even_process,last_5,one_step_greedy_merge,0.4075281013884174,4,1.080027333920023,0.936222608347813,0.227991161639249,even_process,even_process,0.0,1,5
1,even_process,last_6,one_step_greedy_merge,0.3964789701974879,5,1.190442996030002,0.9210277949660296,0.3056864412015485,even_process,even_process,0.0,1,6
1,even_process,last_7,one_step_greedy_merge,0.3928481542759858,8,1.451806381766476,0.8106905345267263,0.5798728506358332,even_process,even_process,0.0,1,7
1,even_process,last_8,one_step_greedy_merge,0.3852387977176991,9,1.4692785600594709,0.8081142064241114,0.6728749796087207,even_process,even_process,0.0,1,8
2,even_process,last_1,one_step_greedy_merge,0.4565127614015067,2,0.4666442887401513,1.0,0.0,even_process,even_process,0.0,1,1
2,even_process,last_2,one_step_greedy_merge,0.4347094784430919,3,0.8147655046727977,1.0,0.0,even_process,even_process,0.0,1,2
2,even_process,last_3,one_step_greedy_merge,0.4274621575443529,3,0.937437006518218,0.9127665691642292,0.2062641160806439,even_process,even_process,0.0,1,3
2,even_process,last_4,one_step_greedy_merge,0.4123321065678322,4,1.0648382511865604,0.9094159192474764,0.2268016993303463,even_process,even_process,0.0,1,4
2,even_process,last_5,one_step_greedy_merge,0.4070049966784083,5,1.3170386761450574,0.9200657524657174,0.2446267888679639,even_process,even_process,0.0,1,5
2,even_process,last_6,one_step_greedy_merge,0.396576958235617,6,1.180661716397139,0.9226716168832386,0.2997864186824426,even_process,even_process,0.0,1,6
2,even_process,last_7,one_step_greedy_merge,0.3930706369949181,8,1.342707876360416,0.8673121156057803,0.5001250347687753,even_process,even_process,0.0,1,7
2,even_process,last_8,one_step_greedy_merge,0.385780685620657,9,1.4348670099047218,0.8194898463038546,0.6446065262193558,even_process,even_process,0.0,1,8
3,even_process,last_1,one_step_greedy_merge,0.4569673634586313,2,0.4646589471115208,1.0,0.0,even_process,even_process,0.0,1,1
3,even_process,last_2,one_step_greedy_merge,0.4348639622413962,3,0.8121182517788768,1.0,0.0,even_process,even_process,0.0,1,2
3,even_process,last_3,one_step_greedy_merge,0.4281233584635507,3,0.9354877562699846,0.9140103502587564,0.2042916641183592,even_process,even_process,0.0,1,3
3,even_process,last_4,one_step_greedy_merge,0.4125263450674968,4,1.0609603530184666,0.91065345792056,0.2248768964917356,even_process,even_process,0.0,1,4
3,even_process,last_5,one_step_greedy_merge,0.408387620573648,4,1.0799102161190166,0.9361788567071264,0.227943526739738,even_process,even_process,0.0,1,5
3,even_process,last_6,one_step_greedy_merge,0.3971506535786586,6,1.353221770372294,0.8353427962473359,0.5190697676344463,even_process,even_process,0.0,1,6
3,even_process,last_7,one_step_greedy_merge,0.3932210049289406,8,1.2653822736937614,0.9137894394719736,0.4117095265635384,even_process,even_process,0.0,1,7
3,even_process,last_8,one_step_greedy_merge,0.3856556871905844,9,1.3572082686414595,0.8827871567775687,0.5358330163413986,even_process,even_process,0.0,1,8
4,even_process,last_1,one_step_greedy_merge,0.4557792186886512,2,0.4674601612495777,1.0,0.0,even_process,even_process,0.0,1,1
4,even_process,last_2,one_step_greedy_merge,0.4338019022493102,3,0.8160986108507124,1.0,0.0,even_process,even_process,0.0,1,2
4,even_process,last_3,one_step_greedy_merge,0.4266938389442182,3,0.93854055181781,0.9137165929148228,0.2053175070278726,even_process,even_process,0.0,1,3
4,even_process,last_4,one_step_greedy_merge,0.4113977393542281,4,1.0627375821684586,0.9104222006937716,0.2256970751787832,even_process,even_process,0.0,1,4
4,even_process,last_5,one_step_greedy_merge,0.4073608224752637,5,1.3516062619750555,0.8760203507631537,0.3651303638776998,even_process,even_process,0.0,1,5
4,even_process,last_6,one_step_greedy_merge,0.3962629408698742,5,1.2485283752059984,0.9062771496252962,0.3495452856029969,even_process,even_process,0.0,1,6
4,even_process,last_7,one_step_greedy_merge,0.3932197128567408,7,1.2706255000683744,0.9151145057252864,0.3772181847501314,even_process,even_process,0.0,1,7
4,even_process,last_8,one_step_greedy_merge,0.3854369042484585,10,1.4312837941888823,0.8155271234006913,0.6349023310347096,even_process,even_process,0.0,1,8
0,even_process_flip0.01,last_1,one_step_greedy_merge,0.4669940894742095,2,0.4760184399298752,1.0,0.0,even_process_flip0.01,even_process,0.01,1,1
0,even_process_flip0.01,last_2,one_step_greedy_merge,0.4516967045475418,3,0.8324631987976893,1.0,0.0,even_process_flip0.01,even_process,0.01,1,2
0,even_process_flip0.01,last_3,one_step_greedy_merge,0.445020608764439,3,0.9513269955845518,0.911366534163354,0.212255515311162,even_process_flip0.01,even_process,0.01,1,3
0,even_process_flip0.01,last_4,one_step_greedy_merge,0.435035294928208,4,1.0546944627852697,0.9125722678833712,0.2107493521792521,even_process_flip0.01,even_process,0.01,1,4
0,even_process_flip0.01,last_5,one_step_greedy_merge,0.4302210840495012,8,1.1214926723646046,0.9351788192057202,0.2245738069535794,even_process_flip0.01,even_process,0.01,1,5
