seed,process,representation,reconstructor,logloss,n_states,C_mu_empirical,unifilarity_score,branch_entropy
0,even_process_flip0.01,last_1,one_step_greedy_merge,0.4669940894742095,2,0.47601843992987525,1.0,0.0
0,even_process_flip0.01,last_2,one_step_greedy_merge,0.45169670454754185,3,0.8324631987976893,1.0,0.0
0,even_process_flip0.01,last_3,one_step_greedy_merge,0.44502060876443905,3,0.9513269955845518,0.9113665341633541,0.21225551531116202
0,even_process_flip0.01,last_4,one_step_greedy_merge,0.435035294928208,4,1.0546944627852697,0.9125722678833713,0.21074935217925217
0,even_process_flip0.01,last_5,one_step_greedy_merge,0.43022108404950127,8,1.1214926723646046,0.9351788192057202,0.2245738069535794
0,even_process_flip0.01,last_6,one_step_greedy_merge,0.4260904341838911,12,1.3560518044592778,0.8175357671898146,0.48055914203709993
0,even_process_flip0.01,last_7,one_step_greedy_merge,0.4231634945263373,17,1.4013632313870146,0.8579616480824042,0.5415720245659368
0,even_process_flip0.01,last_8,one_step_greedy_merge,0.41749034367644955,21,1.5297691758900278,0.8164834271927796,0.684972591061715
1,even_process_flip0.01,last_1,one_step_greedy_merge,0.4686733922962061,2,0.47605583025466813,1.0,0.0
1,even_process_flip0.01,last_2,one_step_greedy_merge,0.45268527188487195,3,0.8309739193040924,1.0,0.0
1,even_process_flip0.01,last_3,one_step_greedy_merge,0.44702311251772475,3,0.9496034679547487,0.9116852921323033,0.211153574179452
1,even_process_flip0.01,last_4,one_step_greedy_merge,0.43650129048351816,5,1.1834772420521094,0.8714209819056845,0.3021770993700144
1,even_process_flip0.01,last_5,one_step_greedy_merge,0.43229297678769824,9,1.1212267750552207,0.9314724302161331,0.2527702796283152
1,even_process_flip0.01,last_6,one_step_greedy_merge,0.42490355548593617,14,1.3638111920426739,0.8743945047595832,0.39675877533225734
1,even_process_flip0.01,last_7,one_step_greedy_merge,0.423248095378758,17,1.4839686037580195,0.8347042352117606,0.6090556196406302
1,even_process_flip0.01,last_8,one_step_greedy_merge,0.41883645703676303,24,1.5219674016379245,0.8570544593133363,0.6365662421451223
2,even_process_flip0.01,last_1,one_step_greedy_merge,0.4674990036231387,2,0.4764481764607076,1.0,0.0
2,even_process_flip0.01,last_2,one_step_greedy_merge,0.4522622456038786,3,0.8320897862305381,1.0,0.0
2,even_process_flip0.01,last_3,one_step_greedy_merge,0.4459761788007532,3,0.9505114492405022,0.9107852696317408,0.21266112814408475
2,even_process_flip0.01,last_4,one_step_greedy_merge,0.4353531816794107,6,1.0955267116994463,0.9062720710022188,0.2370484990098321
2,even_process_flip0.01,last_5,one_step_greedy_merge,0.4309583791941372,10,1.37468452137343,0.8690763403627636,0.4024593831422162
2,even_process_flip0.01,last_6,one_step_greedy_merge,0.42387317610049624,14,1.4441064615041366,0.8193608470370579,0.5715658634076989
2,even_process_flip0.01,last_7,one_step_greedy_merge,0.4228713912244609,19,1.403874027769208,0.8773126156307816,0.5204735119802467
2,even_process_flip0.01,last_8,one_step_greedy_merge,0.4189036089821177,24,1.5090816476794262,0.8497040458525792,0.7121477226203058
3,even_process_flip0.01,last_1,one_step_greedy_merge,0.4674954557487356,2,0.47496043495136847,1.0,0.0
3,even_process_flip0.01,last_2,one_step_greedy_merge,0.4518935436978613,3,0.8300032522185039,1.0,0.0
3,even_process_flip0.01,last_3,one_step_greedy_merge,0.4463651239259591,4,0.9642298374388524,0.911772794319858,0.20967739617094852
3,even_process_flip0.01,last_4,one_step_greedy_merge,0.4355545288227969,5,1.0822219502269241,0.9086596456139254,0.23584671960915068
3,even_process_flip0.01,last_5,one_step_greedy_merge,0.432483471100693,11,1.153162770852543,0.9240596522369589,0.30191605977389396
3,even_process_flip0.01,last_6,one_step_greedy_merge,0.42552144779611334,16,1.3748910845121334,0.8538061040170507,0.5272514972557447
3,even_process_flip0.01,last_7,one_step_greedy_merge,0.4230911427426629,19,1.4079537256467456,0.8786939346967348,0.527147600786476
3,even_process_flip0.01,last_8,one_step_greedy_merge,0.4217477450423026,19,1.6962558858620354,0.7256283165928084,0.9146972002700658
4,even_process_flip0.01,last_1,one_step_greedy_merge,0.46833378300317674,2,0.4769985522929652,1.0,0.0
4,even_process_flip0.01,last_2,one_step_greedy_merge,0.45352560408360976,3,0.8331295699867733,1.0,0.0
4,even_process_flip0.01,last_3,one_step_greedy_merge,0.4472996765882869,4,0.9664124124610126,0.9115352883822095,0.2106307587028938
4,even_process_flip0.01,last_4,one_step_greedy_merge,0.4371425130951317,5,1.087946582431129,0.907640863776993,0.23570334651421262
4,even_process_flip0.01,last_5,one_step_greedy_merge,0.4337761297617987,9,1.206087341601144,0.9091465929972374,0.3247036164689306
4,even_process_flip0.01,last_6,one_step_greedy_merge,0.4281711247790201,12,1.4423103363190846,0.7980349140274887,0.5986314681696085
4,even_process_flip0.01,last_7,one_step_greedy_merge,0.4262820058854175,16,1.4302392133082222,0.8675808790439522,0.535401580497046
4,even_process_flip0.01,last_8,one_step_greedy_merge,0.4239201717729827,20,1.5020477234560277,0.8189085636067028,0.7173486362491622
