seed,process,representation,reconstructor,logloss,n_states,C_mu_empirical,unifilarity_score,branch_entropy
0,even_process_flip0.05_sub2,last_1,one_step_greedy_merge,0.5122480960983993,2,0.5120194633819452,1.0,0.0
0,even_process_flip0.05_sub2,last_2,one_step_greedy_merge,0.5117916303120303,3,0.933308546190358,1.0,0.0
0,even_process_flip0.05_sub2,last_3,one_step_greedy_merge,0.5114273834607737,5,1.2901542119052403,0.995974798739937,0.017161416624654882
0,even_process_flip0.05_sub2,last_4,one_step_greedy_merge,0.5114998047263677,6,1.3008160891103058,0.943358959934996,0.23230741236801503
0,even_process_flip0.05_sub2,last_5,one_step_greedy_merge,0.5117537093903423,8,1.468941348405243,0.8549266194964622,0.4937591352274068
0,even_process_flip0.05_sub2,last_6,one_step_greedy_merge,0.5132279002776461,13,1.7114039521121525,0.7718300351280737,0.771779825866507
0,even_process_flip0.05_sub2,last_7,one_step_greedy_merge,0.5143722525893096,15,1.8077529069787326,0.770014501450145,0.9113599283337582
0,even_process_flip0.05_sub2,last_8,one_step_greedy_merge,0.5199993492804819,19,1.8892489277952185,0.7148804240477054,1.149557103342965
1,even_process_flip0.05_sub2,last_1,one_step_greedy_merge,0.5099603743110172,2,0.5113852409178382,1.0,0.0
1,even_process_flip0.05_sub2,last_2,one_step_greedy_merge,0.508830580867573,3,0.9327929156761061,1.0,0.0
1,even_process_flip0.05_sub2,last_3,one_step_greedy_merge,0.5081180417150604,4,1.2680974431832974,1.0,0.0
1,even_process_flip0.05_sub2,last_4,one_step_greedy_merge,0.5080773158202284,5,1.3724054086438713,0.9024814050878179,0.2540139298257237
1,even_process_flip0.05_sub2,last_5,one_step_greedy_merge,0.5082568284447101,6,1.6162770366405383,0.818373878040853,0.6173393431805033
1,even_process_flip0.05_sub2,last_6,one_step_greedy_merge,0.5084127678626537,11,1.8717204374819585,0.7229007538159589,0.7884993712899628
1,even_process_flip0.05_sub2,last_7,one_step_greedy_merge,0.5140630620465371,16,1.9837383948865095,0.7466746674667467,0.9786722248166533
1,even_process_flip0.05_sub2,last_8,one_step_greedy_merge,0.5160084502092631,23,2.0404540558897954,0.7026415471740571,1.1827392514763941
2,even_process_flip0.05_sub2,last_1,one_step_greedy_merge,0.5137714042299888,2,0.5111846757566146,1.0,0.0
2,even_process_flip0.05_sub2,last_2,one_step_greedy_merge,0.5129385009596356,3,0.9332833420779121,1.0,0.0
2,even_process_flip0.05_sub2,last_3,one_step_greedy_merge,0.5124615038309716,4,1.135428495553462,0.8592679633981699,0.34461373335775863
2,even_process_flip0.05_sub2,last_4,one_step_greedy_merge,0.5124326521695249,5,1.427207363897593,0.8850928183011438,0.30929381761206776
2,even_process_flip0.05_sub2,last_5,one_step_greedy_merge,0.5123542744278494,7,1.6258989442053833,0.8110233267495062,0.5466162279548592
2,even_process_flip0.05_sub2,last_6,one_step_greedy_merge,0.5127193756381543,9,1.798379987929963,0.7393396922230695,0.7710082301614367
2,even_process_flip0.05_sub2,last_7,one_step_greedy_merge,0.5141274465667923,15,1.8943513028681966,0.7057330733073307,0.9601397482412622
2,even_process_flip0.05_sub2,last_8,one_step_greedy_merge,0.5169679086710735,18,2.0278859923699013,0.7320698578590091,1.0868867288794655
3,even_process_flip0.05_sub2,last_1,one_step_greedy_merge,0.5093191633007951,2,0.5101965750447867,1.0,0.0
3,even_process_flip0.05_sub2,last_2,one_step_greedy_merge,0.5084761344848759,3,0.9308950197450827,1.0,0.0
3,even_process_flip0.05_sub2,last_3,one_step_greedy_merge,0.5080638230205081,4,1.2659974617659242,1.0,0.0
3,even_process_flip0.05_sub2,last_4,one_step_greedy_merge,0.5078132476669773,5,1.3600748356103949,0.870416901056316,0.38244346066701007
3,even_process_flip0.05_sub2,last_5,one_step_greedy_merge,0.5077240721765085,7,1.7257068915250044,0.8754406580493537,0.39893137076288704
3,even_process_flip0.05_sub2,last_6,one_step_greedy_merge,0.5078750793549132,10,1.7457799538463585,0.7872063805582988,0.7492896719841172
3,even_process_flip0.05_sub2,last_7,one_step_greedy_merge,0.50829994387553,12,1.8691217341847162,0.7632013201320133,0.9872467374268669
3,even_process_flip0.05_sub2,last_8,one_step_greedy_merge,0.5183478390662279,17,1.9940152088480383,0.6462602042729807,1.2670957557147124
4,even_process_flip0.05_sub2,last_1,one_step_greedy_merge,0.5120863483837899,2,0.5145427054848302,1.0,0.0
4,even_process_flip0.05_sub2,last_2,one_step_greedy_merge,0.5114399213037683,3,0.9372276975996319,1.0,0.0
4,even_process_flip0.05_sub2,last_3,one_step_greedy_merge,0.5113817679450409,4,1.2725432391111104,1.0,0.0
4,even_process_flip0.05_sub2,last_4,one_step_greedy_merge,0.5116322331034096,6,1.3033858779152465,0.9422213888368023,0.2358438629287391
4,even_process_flip0.05_sub2,last_5,one_step_greedy_merge,0.5116643052193879,7,1.4707222098436075,0.925331899892492,0.29659247996019267
4,even_process_flip0.05_sub2,last_6,one_step_greedy_merge,0.5118185192043938,10,1.7376976104131459,0.8697761054092233,0.5281205383986862
4,even_process_flip0.05_sub2,last_7,one_step_greedy_merge,0.5195178982644877,13,1.8809533645139933,0.731035603560356,0.9840584030271069
4,even_process_flip0.05_sub2,last_8,one_step_greedy_merge,0.5213739006470879,18,1.9291086878835608,0.6690627695615757,1.2581282937153107
