metric,noise,contrast,prism_param,kmeans_param,prism_mean,kmeans_mean,gain_mean,gain_sem,gain_ci95_low,gain_ci95_high,wins,ties,losses,n_seeds,paired_t_p
joint_ari_gain,0.02,PRISM - history k-means,0.32,18.0,0.4033770007162884,0.32223901574736724,0.08113798496892122,0.010700353893682102,0.051429039776923396,0.11084693016091904,5,0,0,5,0.001622176292564211
joint_ari_gain,0.05,PRISM - history k-means,0.3,18.0,0.361092612924717,0.2941398733186471,0.06695273960606989,0.008169302918599505,0.044271118504846246,0.08963436070729353,5,0,0,5,0.0012075276462423998
joint_ari_gain,0.08,PRISM - history k-means,0.28,18.0,0.3279472729407705,0.28205551502417164,0.045891757916598774,0.00805368403891835,0.02353114628793433,0.06825236954526322,5,0,0,5,0.004687019765278283
joint_ari_gain,0.12,PRISM - history k-means,0.25,18.0,0.2814383932604495,0.2432140563940764,0.03822433686637316,0.007360681571110403,0.017787808547344075,0.05866086518540224,5,0,0,5,0.006547341136707925
joint_ari_gain,0.16,PRISM - history k-means,0.22,18.0,0.24547912208706807,0.21359132356488061,0.0318877985221874,0.007508207981960067,0.011041671221867368,0.05273392582250743,5,0,0,5,0.01318899405145202
joint_ari_gain,0.2,PRISM - history k-means,0.22,12.0,0.20630050939231684,0.19268853449367768,0.013611974898639145,0.009129065588907222,-0.011734374570711924,0.03895832436799021,3,0,2,5,0.21020917749009868
nll_gain,0.02,history k-means - PRISM,0.22,18.0,1.4193829624795242,1.4848302089395502,0.06544724646002584,0.012272492681890934,0.03137334422481401,0.09952114869523766,5,0,0,5,0.005953873476106924
nll_gain,0.05,history k-means - PRISM,0.22,18.0,1.4613762544231494,1.5176573339608592,0.05628107953770991,0.007284668704055191,0.03605559677134832,0.07650656230407149,5,0,0,5,0.0015112214385525425
nll_gain,0.08,history k-means - PRISM,0.22,18.0,1.49503233058811,1.5392952393075363,0.04426290871942649,0.0033036889992993806,0.03509039756822593,0.05343541987062705,5,0,0,5,0.00017948521412975804
nll_gain,0.12,history k-means - PRISM,0.22,18.0,1.539513706509698,1.5775359403648885,0.03802223385519059,0.002000185789297813,0.03246882781100849,0.04357563989937269,5,0,0,5,4.511406439563142e-05
nll_gain,0.16,history k-means - PRISM,0.22,18.0,1.574543504089371,1.6058563309784077,0.031312826889036846,0.002586325710036808,0.024132035530957944,0.03849361824711575,5,0,0,5,0.0002669909815381271
nll_gain,0.2,history k-means - PRISM,0.22,18.0,1.6168387059121447,1.6390203347731311,0.022181628860986357,0.0013698524653858327,0.01837830868862273,0.025984949033349983,5,0,0,5,8.509625774897985e-05
