noise,method_param,n_states,ari_joint,test_logloss,unifilarity,branch_entropy
0.02,0.22,35.4,0.37649240603541234,1.4193829624795242,0.9974910394265233,0.0091748250512283
0.02,0.25,34.2,0.37924462332968395,1.419742570845909,0.9910644327748604,0.02643741465725466
0.02,0.28,29.4,0.3960314142252097,1.4232904107839779,0.9703925981495374,0.10269191595104998
0.02,0.3,26.8,0.3992751900914215,1.4255284187989297,0.9611902975743936,0.13013733579825254
0.02,0.32,24.0,0.4033770007162884,1.4295536270427636,0.9547053430024175,0.15146655313892993
0.02,0.35,17.2,0.36309496366265775,1.458207349585012,0.9251229474035176,0.24010528265718664
0.02,0.38,9.2,0.2543968402069724,1.5347242720580998,0.8565974827040094,0.4072701033627574
0.05,0.22,35.2,0.3434658457300879,1.4613762544231494,0.9978744686171546,0.007052886759765581
0.05,0.25,32.8,0.3495560856637104,1.4624578674647504,0.9864216054013506,0.03959505675377052
0.05,0.28,29.2,0.36022693075763645,1.464184664448944,0.9746770025839794,0.0798417043156196
0.05,0.3,24.8,0.361092612924717,1.4681932718846529,0.9558973076602486,0.14650037654368564
0.05,0.32,19.8,0.36106864642182607,1.4776078862726418,0.9364257731099442,0.2077810979145515
0.05,0.35,12.0,0.3027173620476049,1.5270367130737155,0.9003084104359423,0.3127536017813767
0.05,0.38,6.0,0.15798969787201908,1.6082001882944634,0.8347336834208552,0.4605057898451671
0.08,0.22,35.0,0.3146734154133054,1.4950323305881097,0.99841627073435,0.0046371694743235
0.08,0.25,32.8,0.3191230386640598,1.4960071252345795,0.989422355588897,0.03455970174237388
0.08,0.28,26.8,0.3279472729407705,1.4993629292646358,0.9562390597649412,0.13412267863692368
0.08,0.3,22.0,0.3151850378642366,1.5096072033142345,0.9256147370175876,0.23149097770117857
0.08,0.32,16.4,0.2837563164604664,1.533845928540861,0.9061181962157203,0.2784435322492612
0.08,0.35,6.4,0.14357603610905745,1.6278565100717963,0.8439776610819372,0.42559045885940583
0.08,0.38,2.8,0.05936609328773078,1.6817060313052257,0.9127281820455113,0.24539754104056116
0.12,0.22,34.2,0.27601093893937007,1.5395137065096982,0.9960990247561889,0.01275701534682172
0.12,0.25,30.0,0.2814383932604495,1.540654824527303,0.9726098191214468,0.0829030668769061
0.12,0.28,22.2,0.2664698818825313,1.5509216009641824,0.911561223639243,0.2669128553689546
0.12,0.3,14.8,0.2122584806991227,1.5821587165268205,0.8765107943652579,0.3767036540382512
0.12,0.32,8.2,0.15036408548453703,1.634195550564764,0.8515378844711178,0.42386268095262675
0.12,0.35,3.2,0.04569135061482886,1.6819622708733117,0.8538134533633409,0.41927065385307544
0.12,0.38,1.0,0.0,1.7255137468996238,1.0,0.0
0.16,0.22,32.6,0.245479122087068,1.574543504089371,0.9812369759106444,0.05869325973419002
0.16,0.25,25.8,0.24174069299575987,1.5795651287731605,0.9502625656414103,0.14781696594004223
0.16,0.28,15.8,0.18495417505466624,1.6079422778258503,0.8606234892056349,0.4088687232771065
0.16,0.3,7.0,0.08742142217990653,1.6635401704211603,0.8246811702925733,0.5106163195316029
0.16,0.32,2.8,0.030871707159137517,1.7107399629213826,0.9224889555722264,0.2483971178016131
0.16,0.35,1.0,0.0,1.7313756051988296,1.0,0.0
0.16,0.38,1.0,0.0,1.7313756051988296,1.0,0.0
0.2,0.22,27.8,0.20630050939231684,1.616838705912145,0.9447528548803866,0.15287243713446796
0.2,0.25,18.4,0.16974746510517816,1.630744108417949,0.8625823122447279,0.4058697138908278
0.2,0.28,7.2,0.05423853306243398,1.6762423776139392,0.7719929982495625,0.6913708925529541
0.2,0.3,2.4,0.00638746633080486,1.7269906613184927,0.9412936567475201,0.19528379978932822
0.2,0.32,1.0,0.0,1.7381829357906775,1.0,0.0
0.2,0.35,1.0,0.0,1.7381829357906775,1.0,0.0
0.2,0.38,1.0,0.0,1.7381829357906775,1.0,0.0
