noise,seed,method,method_param,n_states,ari_coarse,ari_fine,ari_joint,test_logloss,unifilarity,branch_entropy,elapsed_s
0.02,0,prism_predictive,0.25,35,0.07511179999404155,0.18657675569015475,0.3813553148631186,1.425003288391843,0.9876203576341129,0.04456289909698055,0.027358249993994832
0.02,0,prism_predictive,0.3,31,0.07729967881519138,0.19936903614124005,0.3889310610539653,1.42922213268708,0.9791796923846444,0.07445997175858582,0.02607737493235618
0.02,0,prism_predictive,0.35,24,0.08079809478295981,0.21933529340391572,0.40063048590748274,1.4328852371922864,0.9564211579342251,0.14573609318161906,0.025320625049062073
0.02,0,prism_predictive,0.4,10,0.06558759260532776,0.243759463714888,0.2606509418444055,1.5224263480166003,0.8464424159059646,0.45963151127668755,0.02509262494277209
0.02,0,prism_predictive,0.45,2,0.0034372273545905164,0.011995269987969293,0.008891194132353142,1.6770791992996803,0.9426659997499062,0.17764656666278603,0.024792958982288837
0.02,0,prism_predictive,0.5,1,0.0,0.0,0.0,1.7037332423825902,1.0,0.0,0.02474908297881484
0.02,0,history_kmeans,3.0,3,0.004702291551880965,0.15635830404103693,0.09760662570273107,1.6530762210978345,0.7874828060522696,0.5910677430245144,0.0264968330739066
0.02,0,history_kmeans,6.0,6,0.01043538216844429,0.5771492334204825,0.28535755266641355,1.622040365305301,1.0,0.0,0.02976554201450199
0.02,0,history_kmeans,12.0,12,0.04582543140518088,0.3596007176134361,0.3287928757715345,1.5439645044315893,0.9524196573715143,0.15365741667582775,0.04031954100355506
0.02,1,prism_predictive,0.25,35,0.071227322427502,0.17951436774777055,0.3648971707512176,1.4003248396447585,0.9957484056521196,0.014995209847993884,0.0258208749582991
0.02,1,prism_predictive,0.3,27,0.08043802982182457,0.2095268664120729,0.39626729641617187,1.4088073710741025,0.9719894960610228,0.09438861313876615,0.025055250036530197
0.02,1,prism_predictive,0.35,16,0.10229765316304812,0.21422237776752243,0.35855707551780813,1.4510294195827733,0.9029010879079652,0.3130136867164008,0.0250040830578655
0.02,1,prism_predictive,0.4,5,0.017573033240588624,0.32551507905363786,0.1649386329341498,1.606902611422877,0.8503813930223834,0.35961482338190326,0.02538916701450944
0.02,1,prism_predictive,0.45,1,0.0,0.0,0.0,1.7099142368570754,1.0,0.0,0.024626791011542082
0.02,1,prism_predictive,0.5,1,0.0,0.0,0.0,1.7099142368570754,1.0,0.0,0.024658167036250234
0.02,1,history_kmeans,3.0,3,0.008521481290885861,0.0989079731583575,0.11396975198259665,1.6311995572252662,0.6293610103788922,1.128627470865108,0.02489879191853106
0.02,1,history_kmeans,6.0,6,0.02635767837355638,0.2677390387150075,0.18922980931429104,1.5986341432419866,0.8093660122545955,0.5546830261494082,0.030869917012751102
0.02,1,history_kmeans,12.0,12,0.03967425200653937,0.2659805571278124,0.28920240973857025,1.5544790532668422,0.8900837814180316,0.34957858387292684,0.039046583930030465
0.02,2,prism_predictive,0.25,33,0.07528371367542736,0.1875916824722932,0.3805011518306234,1.4079688072029646,1.0,0.0,0.025380040984600782
0.02,2,prism_predictive,0.3,26,0.08231807143662077,0.21520157063828296,0.40093596765659556,1.4119327322165502,0.9772414655495812,0.07513339614339312,0.025394084048457444
0.02,2,prism_predictive,0.35,16,0.087651461040415,0.24407242746918265,0.40128538215012116,1.4384369885311679,0.9014005251969491,0.2994571638553354,0.024920833064243197
0.02,2,prism_predictive,0.4,8,0.07221571212660619,0.28510020037319833,0.24143394702702695,1.554011057507457,0.9075903463798928,0.2846019908408697,0.02496124990284443
0.02,2,prism_predictive,0.45,3,0.010359960201710743,0.3619808702822801,0.13482299381079804,1.6639487243517384,0.9491059147180193,0.12544877124658807,0.025084874941967428
0.02,2,prism_predictive,0.5,1,0.0,0.0,0.0,1.704139445400422,1.0,0.0,0.024567375076003373
0.02,2,history_kmeans,3.0,3,0.006899324658079849,0.06779101481085935,0.11467149087360434,1.6077646049656036,0.6502438414405401,1.1510938989302653,0.02627758402377367
0.02,2,history_kmeans,6.0,6,0.018640021088721107,0.19211122272385547,0.19143971016363995,1.614668034455562,0.7376516193572589,1.0609280903468077,0.02647054207045585
0.02,2,history_kmeans,12.0,12,0.03796246006611167,0.15770883648437267,0.2835811237493446,1.4985211305049286,0.6935100662748532,0.9536714924499542,0.03833666699938476
0.08,0,prism_predictive,0.25,35,0.057922053656477596,0.15838410438850192,0.31601475866884193,1.512907054362136,1.0,0.0,0.02681366598699242
0.08,0,prism_predictive,0.3,27,0.0605748580967162,0.17414423482885574,0.3247603338639912,1.5142346959640078,0.9608603226209828,0.13654252785058266,0.026014499948360026
0.08,0,prism_predictive,0.35,9,0.0552997512511361,0.10008905773142902,0.1120554961395116,1.5894814839656894,0.7623483806427408,0.7403262240970417,0.025757917086593807
0.08,0,prism_predictive,0.4,3,0.0041451837079735845,0.020993180723940793,0.019703589470539476,1.6694693339209554,0.8740777791671877,0.394613795981887,0.025280875037424266
0.08,0,prism_predictive,0.45,1,0.0,0.0,0.0,1.711773410840619,1.0,0.0,0.02493095805402845
0.08,0,prism_predictive,0.5,1,0.0,0.0,0.0,1.711773410840619,1.0,0.0,0.025075666955672204
0.08,0,history_kmeans,3.0,3,0.0033029115235900424,0.13621616871540038,0.0849823835425468,1.6751716281698217,0.7884831811929476,0.615324378736302,0.027346082963049412
0.08,0,history_kmeans,6.0,6,0.012809660480364587,0.4814444410447002,0.2509561947520277,1.6456679415604147,0.9855570839064649,0.053794057316877766,0.028958083014003932
0.08,0,history_kmeans,12.0,12,0.03734260764991383,0.3386877942654044,0.28190312030273573,1.6025590682252722,0.9887457796673751,0.03985906953015548,0.03902541601564735
0.08,1,prism_predictive,0.25,33,0.0552492632996623,0.15885214706878553,0.3064708367536544,1.5052189602851072,0.9877454045266972,0.03813673779401447,0.025502415955998003
0.08,1,prism_predictive,0.3,24,0.059999472111097865,0.18341629921906205,0.3172397173445212,1.518446691233565,0.9370388895835939,0.21320163433253123,0.025156958028674126
