obs_std,seed,method,method_param,n_states,ari_slow,ari_fast,ari_joint,gaussian_logloss,elapsed_s
0.15,0,kalman_predictive_single,0.25,1658,0.034431044371323306,-3.2440249766234036e-05,0.01817804399189231,0.220734620983935,1.0969254141673446
0.15,0,kalman_predictive_single,0.35,651,0.004781889417562218,-6.080784406417063e-05,0.0015441292433779257,0.220734620983935,1.0788879804313183
0.15,0,kalman_predictive_single,0.5,231,-0.0006172626313144332,4.577284182797949e-05,-0.00018689593341626926,0.220734620983935,1.0815752185881138
0.15,0,kalman_predictive_kmeans,3.0,3,0.47662299320139806,6.294956541252025e-06,0.18410587730511843,0.220734620983935,0.03293192386627197
0.15,0,kalman_predictive_kmeans,6.0,6,0.24830390123503038,2.3696804330675487e-05,0.13206179868933746,0.220734620983935,0.09504467435181141
0.15,0,kalman_predictive_kmeans,9.0,9,0.20416664060760262,0.0001713196808964513,0.12642548487843816,0.220734620983935,0.20254401955753565
0.15,0,kalman_predictive_kmeans,12.0,12,0.15379304145446657,0.00028906572747212537,0.10457446632548692,0.220734620983935,0.7776722833514214
0.15,0,kalman_predictive_kmeans,18.0,18,0.11160807092014217,0.0002621689986308918,0.0841451953086579,0.220734620983935,0.5387056199833751
0.15,0,obs_pca_kmeans,3.0,3,-0.00027389219529271486,0.001648644597264266,0.0005880887047216844,0.220734620983935,0.021258866414427757
0.15,0,obs_pca_kmeans,6.0,6,-0.00018767157331132554,0.20927240429794072,0.11113321057118465,0.220734620983935,0.0685213953256607
0.15,0,obs_pca_kmeans,9.0,9,-0.0001020299111666861,0.16021648417265463,0.09628515700315908,0.220734620983935,0.08827747777104378
0.15,0,obs_pca_kmeans,12.0,12,-0.00013153959166817674,0.1196454134100766,0.07845826177338061,0.220734620983935,0.17491593770682812
0.15,0,obs_pca_kmeans,18.0,18,-0.0001601241188636425,0.10815485754683987,0.0789689747392824,0.220734620983935,0.2431162241846323
0.15,0,history_kmeans,3.0,3,0.003758451729303961,-0.00013813172310872082,0.0014985638459916284,0.220734620983935,0.17951341159641743
0.15,0,history_kmeans,6.0,6,0.004894021638294488,0.01646118122123016,0.01205860479287515,0.220734620983935,0.8248194195330143
0.15,0,history_kmeans,9.0,9,0.0025006442310696723,0.01686039324628169,0.012298130974474015,0.220734620983935,0.7585821403190494
0.15,0,history_kmeans,12.0,12,0.0076681719822032325,0.019708793633419625,0.019215371567169733,0.220734620983935,1.489039815030992
