seed,length,train_frac,process,base_process,eps,flip_p,subsample_step,wrappers,condition_id,representation,k,reconstructor,logloss,n_states,C_mu_empirical,unifilarity_score,branch_entropy
0,1000000,0.8,markov_order_2,markov_order_2,0.01,0.0,1,,flip0_sub1,last_1,1,one_step_greedy_merge,0.6088762344760738,2,0.6360774611462494,1.0,0.0
0,1000000,0.8,markov_order_2,markov_order_2,0.01,0.0,1,,flip0_sub1,last_2,2,one_step_greedy_merge,0.43264015467045625,4,1.2413878474488147,1.0,0.0
0,1000000,0.8,markov_order_2,markov_order_2,0.01,0.0,1,,flip0_sub1,last_3,3,one_step_greedy_merge,0.4326417915606049,4,1.24138853517029,1.0,0.0
0,1000000,0.8,markov_order_2,markov_order_2,0.01,0.0,1,,flip0_sub1,last_4,4,one_step_greedy_merge,0.43264093060911407,5,1.3540034872672138,0.9719298245614035,0.10689426490607724
0,1000000,0.8,markov_order_2,markov_order_2,0.01,0.0,1,,flip0_sub1,last_5,5,one_step_greedy_merge,0.43264443832717514,7,1.4024453661634226,0.9400845506341298,0.21061119978388043
0,1000000,0.8,markov_order_2,markov_order_2,0.01,0.0,1,,flip0_sub1,last_6,6,one_step_greedy_merge,0.4326637348008201,13,1.6123928343090974,0.8658588262647298,0.4321885695243821
1,1000000,0.8,markov_order_2,markov_order_2,0.01,0.0,1,,flip0_sub1,last_1,1,one_step_greedy_merge,0.6076500252063248,2,0.6358937398276443,1.0,0.0
1,1000000,0.8,markov_order_2,markov_order_2,0.01,0.0,1,,flip0_sub1,last_2,2,one_step_greedy_merge,0.43104643456569985,4,1.2408152227087779,1.0,0.0
1,1000000,0.8,markov_order_2,markov_order_2,0.01,0.0,1,,flip0_sub1,last_3,3,one_step_greedy_merge,0.431047455534644,4,1.2408145295615562,1.0,0.0
1,1000000,0.8,markov_order_2,markov_order_2,0.01,0.0,1,,flip0_sub1,last_4,4,one_step_greedy_merge,0.43104849354250674,4,1.2408152178625156,1.0,0.0
1,1000000,0.8,markov_order_2,markov_order_2,0.01,0.0,1,,flip0_sub1,last_5,5,one_step_greedy_merge,0.4310544451098362,8,1.3923646354763806,0.95022212666595,0.18648959811018892
1,1000000,0.8,markov_order_2,markov_order_2,0.01,0.0,1,,flip0_sub1,last_6,6,one_step_greedy_merge,0.43106300253300817,15,1.549773403736231,0.9085441997617479,0.34883336741641385
